condition,task,wandb_id,wandb_name,created_at,git_commit,gpu,servo_kp,servo_center,servo_damping_ratio,delay,efference_length,seed,actual_step,ctrl_dt,reward_source,reward_last_point,kp_right_hip,settling_right_hip,dead_right_hip,kp_right_knee,settling_right_knee,dead_right_knee,kp_right_ankle,settling_right_ankle,dead_right_ankle,kp_left_hip,settling_left_hip,dead_left_hip,kp_left_knee,settling_left_knee,dead_left_knee,kp_left_ankle,settling_left_ankle,dead_left_ankle,reward_final,reward_final_n,reward_max,late_gain,max_drawdown_late,curve_points,curve_max_step
torque,WalkerWalk,oms9ag28,WalkerWalk_DelayedMLP_delay0_eff0-20260916-063511,2026-09-16T10:35:16Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA A100-SXM4-80GB,0.0,range,1.0,0,0,50,480215040.0,0.025,dmc_eval,977.16064453125,,,,,,,,,,,,,,,,,,,976.5402887517756,11,977.16064453125,1.7505326704546178,2.7763671875,100,480215040
torque,WalkerWalk,5ryuqn5j,WalkerWalk_DelayedMLP_delay0_eff0-20260916-111639,2026-09-16T15:16:49Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA H200,0.0,range,1.0,0,0,51,480215040.0,0.025,dmc_eval,977.1522827148438,,,,,,,,,,,,,,,,,,,976.8872403231534,11,977.5408935546876,0.6282737038352479,1.8342285156252274,100,480215040
torque,WalkerWalk,dxr20obj,WalkerWalk_DelayedMLP_delay0_eff0-20260916-111639,2026-09-16T15:16:49Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA H200,0.0,range,1.0,0,0,52,480215040.0,0.025,dmc_eval,975.970947265625,,,,,,,,,,,,,,,,,,,976.4283336292614,11,976.9796752929688,1.008095481178998,3.5692138671876137,100,480215040
servo,WalkerWalk,qlczhfeq,WalkerWalk_DelayedMLP_delay0_eff0_kp0.5-job46706136,2026-09-16T13:31:17Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,0.5,range,1.0,0,0,50,480215040.0,0.025,dmc_eval,147.0772705078125,47.74648292756861,1.1067939877075057,0.0,19.09859317102744,0.8192836957105432,0.0,12.732395447351628,0.1988963012510256,0.0,47.74648292756861,1.1067939877075057,0.0,19.09859317102744,0.8192836957105432,0.0,12.732395447351628,0.1988963012510256,0.0,145.401235407049,11,147.4138946533203,6.6371362859552505,4.549896240234375,100,480215040
servo,WalkerWalk,zejtrauz,WalkerWalk_DelayedMLP_delay0_eff0_kp1-20260916-063511,2026-09-16T10:35:16Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA A100-SXM4-80GB,1.0,range,1.0,0,0,50,480215040.0,0.025,dmc_eval,822.42919921875,95.4929658551372,0.7826215340844774,0.0,38.19718634205488,0.5793210569525009,0.0,25.464790894703256,0.1406409233675226,0.0,95.4929658551372,0.7826215340844774,0.0,38.19718634205488,0.5793210569525009,0.0,25.464790894703256,0.1406409233675226,0.0,818.9959439364346,11,826.6976928710938,35.92877197265625,15.7547607421875,100,480215040
servo,WalkerWalk,seonhqod,WalkerWalk_DelayedMLP_delay0_eff0_kp1-20260916-115813,2026-09-16T15:58:21Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA A100-SXM4-80GB,1.0,range,1.0,0,0,52,480215040.0,0.025,dmc_eval,483.1669616699219,95.4929658551372,0.7826215340844774,0.0,38.19718634205488,0.5793210569525009,0.0,25.464790894703256,0.1406409233675226,0.0,95.4929658551372,0.7826215340844774,0.0,38.19718634205488,0.5793210569525009,0.0,25.464790894703256,0.1406409233675226,0.0,476.248740456321,11,483.1669616699219,52.045393510298254,13.53326416015625,100,480215040
servo,WalkerWalk,mk7d1dj1,WalkerWalk_DelayedMLP_delay0_eff0_kp4-job46705770,2026-09-16T11:36:30Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA A40,4.0,range,1.0,0,0,50,480215040.0,0.025,dmc_eval,960.322509765625,381.97186342054886,0.3913107670422387,0.0,152.78874536821954,0.28966052847625046,0.0,101.85916357881302,0.0703204616837613,0.0,381.97186342054886,0.3913107670422387,0.0,152.78874536821954,0.28966052847625046,0.0,101.85916357881302,0.0703204616837613,0.0,957.9409124200994,11,960.322509765625,5.98045765269876,12.87164306640625,100,480215040
servo,WalkerWalk,8fstkvcp,WalkerWalk_DelayedMLP_delay0_eff0_kp8-job46705774,2026-09-16T13:31:17Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA A100-SXM4-40GB,8.0,range,1.0,0,0,50,480215040.0,0.025,dmc_eval,958.4298095703124,763.9437268410977,0.27669849692687637,0.0,305.5774907364391,0.2048209239276358,0.0,203.71832715762605,0.0497240753127564,0.0,763.9437268410977,0.27669849692687637,0.0,305.5774907364391,0.2048209239276358,0.0,203.71832715762605,0.0497240753127564,0.0,965.2515647194602,11,971.0281372070312,11.027354847301126,20.02008056640625,100,480215040
servo,WalkerWalk,hshlffvs,WalkerWalk_DelayedMLP_delay0_eff0_kp16-job46705775,2026-09-16T13:31:17Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,16.0,range,1.0,0,0,50,480215040.0,0.025,dmc_eval,976.680419921875,1527.8874536821954,0.19565538352111936,0.0,611.1549814728781,0.14483026423812523,0.0,407.4366543152521,0.03516023084188065,0.0,1527.8874536821954,0.19565538352111936,0.0,611.1549814728781,0.14483026423812523,0.0,407.4366543152521,0.03516023084188065,0.0,976.6656438654119,11,977.3201904296876,1.4624578302556301,3.720703125,100,480215040
torque,WalkerWalk,ahzrqpzy,WalkerWalk_DelayedMLP_delay5_eff5-job46705778,2026-09-16T13:31:17Z,7bedb5cc4b735c7c93790c39113e7cb6295039d2,NVIDIA RTX PRO 6000 Blackwell Server Edition,0.0,range,1.0,5,5,50,480215040.0,0.025,dmc_eval,964.0535888671876,,,,,,,,,,,,,,,,,,,965.1399480646306,11,966.0179443359376,4.429332386363626,3.133544921875,100,480215040
